Movie,Years,Duration,Genre,Rating,Unnamed: 5,Actor_1,Actor_2,Actor_3,Actor_4
Durgamati: The Myth,2020,155 min,"Horror, Thriller",3.8,"4,976",Ashok G.,Bhumi Pednekar,Mahie Gill,Arshad Warsi
Ek Battey Do,2020,100 min,Drama,8.5,6,Suzad Iqbal Khan,Abinash,Monika Chowdhury,Chandra Shekhar Dutta
Ek Sainik - The Tale of a warrior,2020,45 min,"Action, Drama",8.2,17,Pratyush Sharma,Pratyush Sharma,Shivani Pathak,Priyom Gautam
English ki taay taay fisss,2020,137 min,"Comedy, Romance",6.1,11,Shailendra Singh Rajput,Aishwarya Rajesh Ash,Manoj Joshi,Leysan Karimova
Evil Eye,2020,90 min,"Horror, Mystery, Thriller",4.7,"2,958",Elan Dassani,Rajeev Dassani,Sarita Choudhury,Sunita Mani
Faasle,2020,145 min,Drama,7.6,,Vivek Anchalia,V.M. Badola,Varun Badola,
Filmi Raasleela,2020,126 min,Romance,3.4,,Shiraz Henry,Gunjann Aras,Aslam Aziz,Rahim Bhai
Footfairy,2020,115 min,"Crime, Thriller",5,287,Kanishk Varma,Gulshan Devaiah,Sagarika Ghatge,Kunaal Roy Kapur
Footloose: A Story of Belonging,2020,93 min,Documentary,8.4,,Gulshan Singh,,,
Fukrey Boyzzz: Space Mein Fukrapanti,2020,74 min,"Animation, Comedy, Family",8.3,6,Avinash Walzade,Manish Bhavan,Amit Deondi,Ketan Kava
Ghanta the mystery bell,2020,111 min,Comedy,6.6,,Dinesh Kunder,Naveen Chaturvedi,Nikita Chhabariya,Amanpreet Satija
Ghoomketu,2020,108 min,Comedy,5.5,"2,708",Pushpendra Nath Misra,Nawazuddin Siddiqui,Ragini Khanna,Richa Chadha
Ghost Stories,2020,144 min,"Horror, Thriller",4.3,"4,620",Zoya Akhtar,Dibakar Banerjee,Karan Johar,Anurag Kashyap
Ginny Weds Sunny,2020,125 min,"Comedy, Drama, Romance",5.7,"3,872",Puneet Khanna,Yami Gautam,Vikrant Massey,Ayesha Raza
Green Signal,2020,95 min,Reality-TV,6.8,,Sharadsingh Thakur,Jiya Chabra,Omkar Das Manikpuri,Rupali Pawar
Gul Makai,2020,132 min,"Biography, Drama, War",2.4,213,Amjad Khan,Reem Shaikh,Divya Dutta,Atul Kulkarni
Gulabo Sitabo,2020,124 min,"Comedy, Drama",6.3,"11,364",Shoojit Sircar,Amitabh Bachchan,Ayushmann Khurrana,Vijay Raaz
Gulfam,2020,146 min,Drama,2.5,,Sanamjit Singh Talwar,Aryan Bhangu,Manu Rishi Chadha,Anupam Maanav
Gunjan Saxena: The Kargil Girl,2020,112 min,"Action, Biography, Drama",5.3,"25,005",Sharan Sharma,Janhvi Kapoor,Pankaj Tripathi,Angad Bedi
Guns of Banaras,2020,134 min,Action,6.8,41,Shekkhar Suri,Karann Nathh,Nathalia Kaur,Ganesh Venkatraman
Hacked,2020,118 min,Thriller,4.3,"1,208",Vikram Bhatt,Hina Khan,Sid Makkar,Rohan Shah
Halahal,2020,97 min,"Crime, Drama, Mystery",7.1,"1,441",Randeep Jha,Barun Sobti,Sachin Khedekar,Manu Rishi Chadha
Hamaari Bhabhi,2020,77 min,Drama,2.3,,Rahul,Jiya,Chetana Pathak,
Happy Hardy and Heer,2020,123 min,"Comedy, Romance",5.9,580,Raka,Ashwin Dhar,Karen Elliot,Trupti Khamkar
Harami,2020,100 min,"Crime, Drama, Romance",7.7,957,Shyam Madiraju,Emraan Hashmi,Rizwan Shaikh,Dhanshree Patil
Haunted Evil Dead,2020,98 min,Horror,4.6,,Sonny Laguna,Tommy Wiklund,Lisa Henni,Amanda Renberg
Haunted Hills,2020,102 min,Horror,6.7,31,Sanjeev Kumar Rajput,Sharan Anandani,Gavie Chahal,Krishna Chaturvedi
Home Stories,2020,47 min,Comedy,6.6,18,Tanvi Gandhi,Anubhuti Kashyap,Ashwin Laxmi Narayan,Sahirr Sethhi
I Am Not Blind,2020,101 min,"Drama, Family",7.2,12,Govind Mishra,Vinay Ambast,Amit Ghosh,Shikha Itkan
I Know You,2020,98 min,Horror,3.5,20,Jayveer Panghaal,Agast Anand,Nishant Bhardwaj,Muzahid Khan
Icarus,2020,99 min,Thriller,6.6,,Abhijeet More,Kiran D Patil,Nidhi Garg,Sagar More
India Fashion Factory,2020,120 min,Comedy,4.6,,Rajesh Bajaj,Nikki Tamboli,Namashi Chakraborthy,
Indoo Ki Jawani,2020,118 min,"Comedy, Drama",3,"5,032",Abir Sengupta,Kiara Advani,Aditya Seal,Mushtaq Khan
Indu in a Burkha,2020,120 min,Drama,6.2,,Preetam Naik,Adi Irani,Sharma Mohit,Dipesh Naik
Iskool Bag,2020,120 min,Drama,7.0,,Aditya Bharadwaj,Aparshakti Khurana,Priyanka Bose,Kartikey Raj
Jai Mummy Di,2020,103 min,"Comedy, Drama, Romance",3.6,827,Navjot Gulati,Poonam Dhillon,Supriya Pathak,Sunny Singh Nijjar
Jawaani Jaaneman,2020,119 min,"Comedy, Drama",6.6,"6,371",Nitin Kakkar,Saif Ali Khan,Alaya F,Tabu
Joda Thath Ka,2020,63 min,"Comedy, Drama, Family",7.2,,Uttar Kumar,Uttar Kumar,Kavita Joshi,Kanhaiya Baghel
Kaali Khuhi,2020,90 min,"Drama, Horror, Mystery",3.4,"1,032",Terrie Samundra,Shabana Azmi,Sanjeeda Sheikh,Riva Arora
Kaanchli Life in a Slough,2020,101 min,Drama,7.3,85,Dedipya Joshii,Sanjay Mishra,Shikha Malhotra,Nareshpal Singh Chouhan
Kehta Hai Yeh Dil,2020,116 min,"Comedy, Drama",3.3,10,R.k. Sharma,Ranbeeir Kalsi,Sharvani Sahay,Elena Tuteja
Khaali Peeli,2020,119 min,"Action, Comedy, Romance",2.3,"8,106",Maqbool Khan,Ishaan Khattar,Ananya Panday,Jaideep Ahlawat
Khuda Haafiz,2020,133 min,"Action, Adventure, Drama",7.4,"16,142",Faruk Kabir,Vidyut Jammwal,Shivaleeka Oberoi,Annu Kapoor
Khudbudi,2020,120 min,Drama,9.6,,Kumar Ritu Raj,Heeba Shah,Serena Walia,Suksha Gupta
Khunnas,2020,104 min,Drama,5.5,,Mukesh Raaj Singh,Naresh Kumar,Deva Mehto,Megha Saxsena
Khwab Sare Jhootey,2020,100 min,Drama,7.8,8,Deepak Baldev,Ajay Gautam,Harsh Kumar,Madhu Narayan
Koler Gaan,2020,112 min,Drama,9.5,,Bhaskar Banerjee,,,
Kosa,2020,85 min,Drama,7.3,15,Mohit Priyadarshi,Kunal Bhange,Sunil Chipde,Robin Das
Kottayam,2020,100 min,"Crime, Drama, Romance",6.9,13,Binu Bhaskar,Sreenath Janardhanan,Chinnu Kuruvila,Ravi Mathew
Kriya,2020,96 min,"Drama, Fantasy, Horror",6.5,29,Sidharth Srinivasan,Avantika Akerkar,M.D. Asif,Kishan Bahurupiya
Lafda,2020,106 min,Drama,3.9,,Pratap Kumar,Vivek Sharma,Uttar Kumar,Monu Dhankad
Laxmii,2020,141 min,"Action, Comedy, Horror",2.4,"49,164",Lawrence Raghavendra,Balakrishnan Thevar,Akshay Kumar,Kiara Advani
Little Singham: Kaal Ka Badla,2020,69 min,"Animation, Action",6.1,12,Prakash Satam,Jigna Bharadhwaj,Neshma Chemburkar,Saumya Daan
LLD,2020,95 min,Romance,2.4,,Naman,Prashant,Sapna Sappu,
London Confidental,2020,77 min,"Crime, Drama, Thriller",6.4,"1,653",Kanwal Sethi,Mouni Roy,Purab Kohli,Kiren Jogi
Lootcase,2020,132 min,"Comedy, Crime",7.6,"15,188",Rajesh Krishnan,Kunal Khemu,Rasika Dugal,Vijay Raaz
Love Aaj Kal,2020,142 min,"Drama, Romance",4.7,"6,994",Imtiaz Ali,Kartik Aaryan,Sara Ali Khan,Randeep Hooda
Love Qubool Hai,2020,94 min,"Drama, Romance",10,5,Saif Ali Sayeed,Ahaan Jha,Mahesh Narayan,Rajasree Rajakumari
Ludo,2020,149 min,"Action, Comedy, Crime",7.6,"32,403",Anurag Basu,Pankaj Tripathi,Abhishek Bachchan,Rajkummar Rao
Maali,2020,85 min,Drama,8.2,,Ashwini Malik,Prabhat Raghunandan,Swati Sen,Gaurav Sharma
Malang,2020,135 min,"Action, Crime, Drama",6.5,"8,972",Mohit Suri,Aditya Roy Kapoor,Anil Kapoor,Disha Patani
Mark..!,2020,114 min,Thriller,2.7,,,,,
Maska,2020,111 min,"Comedy, Drama, Romance",5.8,"1,317",Neeraj Udhwani,Prit Kamani,Manisha Koirala,Shirley Setia
Matto Ki Saikil,2020,95 min,Drama,6.2,,M. Gani,Anita Choudhary,Prakash Jha,Dimpy Mishra
Mee Raqsam,2020,80 min,Drama,6.7,384,Baba Azmi,Juhaina Ahsan,Shivangi Gautam,Danish Husain
Mera Ramrajya Nai Kranti,2020,162 min,Drama,8.8,16,Shyam Bharteey,Shyam Bharteey,Ashwin Krishna Gaur,Aman Gupta
Milestone,2020,98 min,Drama,6.6,411,Ivan Ayr,Mohinder Gujral,Pavitra Mattoo,Lakshvir Saran
Montu Ki Paltan,2020,100 min,Drama,6.3,,Vikrant More,Pankaj Berry,K.K. Goswami,Gulshan Pandey
Mrs & Mr Khurana,2020,89 min,"Drama, Thriller",2.1,,Prasadh Inamdar,Sudhir Dalvi,Sharib Hashmi,Satish Kaushik
Mrs. Serial Killer,2020,106 min,"Crime, Drama, Thriller",4.8,"11,531",Shirish Kunder,Jacqueline Fernandez,Manoj Bajpayee,Mohit Raina
Muddaa,2020,106 min,Drama,7.7,,Uttar Kumar,Kavita Joshi,Vikas Balian,Usha Devi
Mumbaiyya: The Daring Mumbaikar!,2020,124 min,"Action, Drama",2.8,,Arhaan,Rani Agarwal,Rajesh Banik,Rajesh Bonik
Musings of an Uninspired Artist,2020,74 min,Drama,7.5,8,Ronit Jadhav,Ronit Jadhav,,
My Client's Wife,2020,106 min,"Mystery, Thriller",6.2,672,Prabhakar Meena Bhaskar Pant,Sharib Hashmi,Pushkar Bhaskar Pant,Anjali Patil
Nagastyle,2020,93 min,Documentary,9.6,,Nagnath Kharat,Malan Kharat,Ramchandra Kharat,Ganesh Pund
Nazarband,2020,85 min,Drama,5.1,,Suman Mukhopadhyay,Tanmay Dhanania,Indira Tiwari,
No Man's Truth,2020,123 min,"Crime, Drama, Mystery",6.3,30,Marina Libik,Coral Bhamra,Chirag Saluja,Gaurav Kamble
Nympho: The Lust Story,2020,104 min,"Drama, Romance, Thriller",5.3,31,Kumaar Aadarsh,Natasha Majhi,Mohnish Nawani,Vikhyat Swades
O Pushpa I Hate Tears,2020,127 min,"Comedy, Thriller",3.9,,Dinkar Kapoor,Krishna Abhishek,Karthik Jayaram,Arjumman Mughal
Omprakash Zindabad,2020,130 min,"Comedy, Drama",4.9,12,Ranjeet Gupta,Seema Azmi,Shweta Bhardwaj,Zakir Hussain
One Stop for Love,2020,65 min,"Comedy, Romance",7.5,,Supriya Khan,Ismail Umarr Khan,Shweta Khanduri,Mousam Sharma
Operation Parindey,2020,60 min,"Action, Drama, Thriller",4.7,349,Sanjay Gadhvi,Amit Sadh,Rucha Inamdar,Rahul Dev
Pagleaazam,2020,123 min,Comedy,6.7,10,Vikas Kavthekar,Aps Raghuvanshi,Aditya pratap singh Raghuvanshi,Mandeep Kaur
Panga,2020,131 min,"Drama, Sport",6.8,"5,455",Ashwiny Iyer Tiwari,Kangana Ranaut,Jassie Gill,Richa Chadha
Pange Yahan Sab Lafange,2020,90 min,Comedy,10.0,,Rahul Verma,Mayank Adil,Laxmi Narayan Bhatt,Rajeev Kaithwar
Parchhaiyaan,2020,60 min,Thriller,1.1,,Ashish Yadav,Ashish Yadav,Shishir Bile,Gaurav Dagwar
Pareeksha,2020,120 min,Drama,8.1,"2,921",Prakash Jha,Adil Hussain,Priyanka Bose,Shourya Deep
Pasha,2020,109 min,"Mystery, Thriller",1.6,,Poojan H. Shah,Krishna Singh Bisht,Ghanshyam Garg,Deepaq Sharma
Perversion,2020,60 min,Drama,5.2,,Sandeep Patra,Adiya,Natasha,Sneha
Pratibimbo,2020,21 min,"Crime, Drama, Mystery",7.8,8,Yogesh Ingole,Moumita Goswami,Priyanka Karkera,Abhishail Kharote
Pyaar Banam Khap Panchayat,2020,118 min,Drama,1.4,,Shambhu Purohit,Manoj Pandit,Manoj Bakshi,Donal Bisht
Raat Akeli Hai,2020,149 min,"Crime, Drama, Mystery",7.3,"15,769",Honey Trehan,Nawazuddin Siddiqui,Radhika Apte,Aditya Srivastav
Ram Singh Charlie,2020,104 min,Drama,8,"1,272",Nitin Kakkar,Kumud Mishra,Divya Dutta,Salima Raza
Regards & Peace,2020,89 min,Thriller,5.5,27,Sanjay Amar,Prashantt Guptha,Flora Saini,Sadhana Singh
Rizwan,2020,130 min,Drama,1.6,,Haresh Vyas,Jalpa Bhatt,Gaurav Chansoria,Digisha Gajjar
Run Zindagi Run,2020,152 min,"Action, Crime, Thriller",7.5,8,Dinesh Parihar,Nitesh Shrivastava,Nidhi Shrivastava,Lokesh Gorker
Sab Kushal Mangal,2020,132 min,Romance,4.4,215,Karan Vishwanath Kashyap,Akshaye Khanna,Priyaank Sharma,Riva Kishan
Sadak 2,2020,133 min,"Action, Drama",1.1,"67,785",Mahesh Bhatt,Alia Bhatt,Priyanka Bose,Sanjay Dutt
Saroj Ka Rishta,2020,122 min,Romance,6.4,,Abhishek Saxena,Sanah Kapoor,Kumud Mishra,Gaurav Pandey
Sayonee,2020,111 min,"Action, Musical, Romance",7.6,566,Nitin Gupta,Abhay Singhal,Tanmay Ssingh,Musskan Sethi
Scorned,2020,104 min,Thriller,2.5,25,Tanveer Hashmi,Tanveer Hashmi,Pooja Joshi,Paras Randhawa
Serious Men,2020,114 min,"Comedy, Drama",6.8,"6,382",Sudhir Mishra,Sachin Krishn,Nawazuddin Siddiqui,Nassar
Shaheed Chandrashekhar Azaad,2020,147 min,History,5.8,,Rajesh Mittal,Devdutt Budholiya,Anil Dhawan,Arun Mathur
Shaheen Baghi,2020,92 min,Drama,6.8,,Mustajab Malik,Rais Amrohi,Ashok,Girdhar Kumar Baghel
Shakeela,2020,126 min,"Biography, Drama",3.2,528,Indrajit Lankesh,Pankaj Tripathi,Richa Chadha,Rajeev Pillai
Shakuntala Devi,2020,127 min,"Biography, Drama",6.1,"8,456",Anu Menon,Vidya Balan,Adi Chugh,Sanya Malhotra
Shehri Gabru,2020,62 min,"Comedy, Crime",8.5,92,Saurabh Gulab Rao,Naman Bhati,Akshay Kaushal,Atul Kaushal
Shikara,2020,118 min,"Drama, History, Romance",3.8,"6,399",Vidhu Vinod Chopra,Sadia Khateeb,Aadil Khan,Zain Khan Durrani
Shimla Mirchi,2020,129 min,"Comedy, Romance",4.6,"1,322",Ramesh Sippy,Hema Malini,Rajkummar Rao,Rakul Preet Singh
Shubh Mangal Zyada Saavdhan,2020,117 min,"Comedy, Romance",5.8,"8,208",Hitesh Kewalya,Ayushmann Khurrana,Jitendra Kumar,Gajraj Rao
Shubh Raatri,2020,52 min,Horror,4.5,67,Pankaz Singh Tanwar,Simran Ahemad,Nemi Chand,Jaya Goswami
Shukranu,2020,90 min,Drama,6.4,678,Bishnu Dev Halder,Divyendu Sharma,Shweta Basu Prasad,Sheetal Thakur
Shut up Sona,2020,85 min,"Documentary, Musical",7.1,19,Deepti Gupta,,,
Silence of Sleep,2020,90 min,Thriller,6.8,,Sudhish Kumar,Naina Khan,Rishabhraj Mehrotra,Udayyan Raathore
Siyavar Ram - Ramayana,2020,90 min,Animation,7,6,Murugan V.,,,
Soorarai Pottru,2020,153 min,Drama,9.1,"83,029",Sudha Kongara,Suriya,Madhavan,Paresh Rawal
Sragaal,2020,140 min,"Drama, History, Mystery",2.4,,Devansh Srivastava,Ravi Kishan,Naresh Neb,Anshuman Rai
Street Dancer 3D,2020,146 min,"Drama, Music",3.6,"5,930",Remo D'Souza,Varun Dhawan,Shraddha Kapoor,Prabhu Deva
Sujata,2020,104 min,Drama,7.5,,Deepak Bhardwaj,Kavita Joshi,Pratap Kumar,Rahul Kumar
Sunderkand Let love find you,2020,67 min,Romance,4.3,,Shreya Rastogi,Shreya Rastogi,Falak Khan,Aparna Desai
Suraj Pe Mangal Bhari,2020,139 min,Comedy,5.9,"3,011",Abhishek Sharma,Manoj Bajpayee,Fatima Sana Shaikh,Vijay Raaz
Taanashah,2020,101 min,"Action, Drama",7.3,25,Ritam Srivastav,Dilip Arya,Indraneel Bhattacharya,Shashi Chaturvedi
Taish,2020,143 min,"Action, Thriller",7.5,"3,703",Bejoy Nambiar,Jim Sarbh,Harshvardhan Rane,Pulkit Samrat
Tallukh,2020,83 min,"Crime, Drama, Romance",5.4,56,Anurag Jha,Yash Krishnani,Anurag Jha,Harshita Awale
Tanhaji: The Unsung Warrior,2020,135 min,"Action, Biography, Drama",7.6,"22,344",Om Raut,Ajay Devgn,Saif Ali Khan,Sharad Kelkar
Teri Diwali Meri Christmas,2020,68 min,"Adventure, Fantasy, Romance",5.7,23,Anurag Jha,Anurag Jha,Hemavaishnave,Khushboo Moharkar
Thappad,2020,142 min,Drama,6.8,"15,063",Anubhav Sinha,Taapsee Pannu,Pavail Gulati,Kumud Mishra
The End and the Means,2020,129 min,Documentary,9.9,,Pawel Wojtasik,,,
The Grey,2020,90 min,"Drama, Mystery",6.5,60,Tushar Waghela,Tarush Waghela,Vishay Waghela,Yashwant Anand Gupta
The Hidden Strike,2020,100 min,War,3.5,41,Suzad Iqbal Khan,Deepraj Rana,Mir Sarwar,Jimmy Sharma
The Hundred Bucks,2020,102 min,Drama,6.8,10,Dushyant Pratap Singh,Kavita Tripathi,Rajesh Mishra,Dinesh Bawara
The Incantations: Origin,2020,50 min,Horror,2.9,,Aishwary Dubey,Sudhir Kumar Dubey,Rupali Dwivedi,Ankit Panchal
The Journey Weekend Night,2020,122 min,Thriller,6.1,7,Shaik Khaja Hussain,Yash Agarwal,Imran Ali,Arti Gaikwad
The Motorcycle Man,2020,100 min,Mystery,3.0,,Shivrajj J.D. Khuman,Hardiksinh Chudasama,Amit Galani,Surbhi Bhatti
The Pushkar Lodge,2020,115 min,Drama,8.6,14,Vijay Suthar,Anil Chahar,Sachin Chaudhary,Yashvi Chhabra
The Reluctant Crime,2020,113 min,Drama,9.4,16,Arvind Pratap,Dharmendra Ahir,Awanish Kotnal,Rakhi Mansha
The Shepherdess and the Seven Songs,2020,96 min,Drama,6.7,87,Pushpendra Singh,Shahnawaz Bhat,Sadakkit Bijran,Ranjit Khajuria
The Sound of Silence,2020,57 min,Drama,2.0,,Karunesh Kishan,Vineet Kumar,Sudhanshu Sharma,Mridul Srivastava
Torbaaz,2020,133 min,"Action, Drama, Sport",6.8,"5,289",Girish Malik,Sanjay Dutt,Nargis Fakhri,Rahul Dev
Tryst with Destiny,2020,96 min,Drama,8,13,Prashant Nair,Suhasini,Vineet Kumar Singh,Jaideep Ahlawat
Unpaused,2020,113 min,"Drama, Romance",7,"2,057",Nikkhil Advani,Avinash Arun,Tannishtha Chatterjee,Krishna D.K.
V,2020,140 min,"Action, Crime, Thriller",6.9,"6,758",Mohana Krishna Indraganti,Nani,Sudheer Babu Posani,Nivetha Thomas
Vidhan,2020,84 min,Romance,4.6,,Manoj Rai,Ranojoy Bishnu,Rohan Verma,Anuj Jain
Vilom,2020,82 min,Drama,6.2,56,Sunder Pal,Ambika Kamal,Manish Kumar,Navpreet Moti
Virgin Bhanupriya,2020,111 min,"Comedy, Drama",2.9,"1,097",Ajay Lohan,Urvashi Rautela,Gautam Gulati,Rumana Molla
Walk,2020,100 min,Drama,7.9,,Nitin Gupta,Archana Puran Singh,Rahul Roy,
Wanton,2020,90 min,"Crime, Thriller",4.5,124,Jaimin Bal,Aryan Neeraaj Anand,Vipin Bhardwaj,Pooja Chauhan
Welcome Home,2020,126 min,"Crime, Drama, Horror",7.5,"2,413",Pushkar Mahabal,Kashmira Irani,Swarda Thigle,Shashi Bhushan
Welcome on Board,2020,78 min,Drama,7.9,9,Mohsin Abrar,Bandana Basnett,Renuka Arora Bhagat,Muhammad Fazrul
Wishlist,2020,93 min,Drama,4.8,122,Rahat Kazmi,Jitendra Rai,Hina Khan,Monica Aggarwal
X Zone,2020,97 min,Thriller,2.7,50,Faisal Kapdi,Kapil Arya,Hrishitaa Bhatt,Moin Khan
Yaara,2020,130 min,"Action, Crime, Drama",6.3,"3,955",Tigmanshu Dhulia,Vidyut Jammwal,Amit Sadh,Mohommed Ali Shah
Yahan Sabhi Gyani Hain,2020,115 min,Comedy,5.1,244,Anant Tripathi,Atul Srivastava,Neeraj Sood,Apoorva Arora
Yeh Ballet,2020,117 min,Drama,7.6,"1,126",Sooni Taraporevala,Julian Sands,Jim Sarbh,Sarah Jane Dias
#Gadhvi (He thought he was Gandhi),2019,109 min,Drama,7,8,Gaurav Bakshi,Rasika Dugal,Vivek Ghamande,Arvind Jangid
#Yaaram,2019,110 min,"Comedy, Romance",4.4,35,Ovais Khan,Prateik,Ishita Raj,Siddhant Kapoor
1978: A Teen Night Out,2019,107 min,Thriller,4,20,Aziz Zee,Abuzar Akhtar,Apurva Godbole,Vaishnavi Kadam
22 Yards,2019,126 min,Sport,6.1,361,Mitali Ghoshal,Barun Sobti,Amartya Ray,Rajit Kapoor
3 Dev,2019,122 min,Comedy,6.9,35,Ankush Bhatt,Karan Singh Grover,Ravi Dubey,Kunaal Roy Kapur
377 AbNormal,2019,93 min,Drama,5.6,93,Faruk Kabir,Muntazir Ahmad,Shashank Arora,Mohd. Zeeshan Ayyub
3rd EYE,2019,145 min,Horror,6.3,6,Sanjay Niranjan,Deepak Bhatia,Mukul Dev,Sakshi Dwivedi
706,2019,120 min,Thriller,5.3,449,Shravankumar Tiwari,Mohan Agashe,Raayo S. Bakhirta,Divya Dutta
72 Hours: Martyr Who Never Died,2019,130 min,"Action, Biography, Drama",5.3,249,Avinash Dhyani,Avinash Dhyani,Yeshi Dema,Alka Amin
99 Songs,2019,128 min,"Musical, Romance",7.4,"1,901",Vishwesh Krishnamoorthy,Ehan Bhat,Edilsy Vargas,Tenzing Dalha
A Gift of Love: Sifar,2019,95 min,"Drama, Romance",8,33,Dhruv Sachdev,Sanjay Deyali,Sudha Chandran,Anang Desai
A Rape Song,2019,75 min,"Crime, Drama",5.1,,Jacob Paul,Uday Bhan Mourya,Anjali Ujawane,
A Thin Line,2019,104 min,Drama,7.9,24,Vierendrra Lalit,Trivikram Mattoo,Rahul Roy,Akansha Shivhare
Aadhaar,2019,107 min,Drama,7.6,69,Suman Ghosh,Vineet Kumar Singh,Saurabh Shukla,Raghuvir Yadav
Aaina,2019,60 min,Horror,4.5,,Raja Bhargav,Komal Bharti,Urmila Chandolia,Ankit Jha
Aani Maani,2019,94 min,Drama,6.6,15,Fahim Irshad,Farrukh Seyer,Priyanka Verma,Neha Singh
Aasra,2019,95 min,"Drama, Family, Romance",4.6,,Dinesh Chaudhary,Uttar Kumar,Dev Sharma,Devika Thakur
Action,2019,158 min,"Action, Adventure, Thriller",4.5,858,Sundar C.,Vishal,Tamannaah Bhatia,Aishwarya Lekshmi
Adventure Kids Hindi Film,2019,120 min,Adventure,6.6,12,Manoj Palrecha,Suvahhdan Angre,Neel Bakshi,Prachita Gujar
Ahaan,2019,81 min,"Comedy, Drama",7.2,213,Nikhil Pherwani,Arif Zakaria,Niharika Singh,Abuli Mamaji
Alajh Palajh,2019,136 min,Comedy,6.9,7,Uttar Kumar,Vikas Balian,Usha Devi,Monu Dhankad
Albert Pinto Ko Gussa Kyun Aata Hai?,2019,100 min,Drama,5.5,349,Soumitra Ranade,Manav Kaul,Nandita Das,Amarjeet Amle
Alex's Strip,2019,109 min,Drama,5.9,37,Irene Zoe Alameda,Aitana Sánchez-Gijón,Aida Folch,Rohit Choudhary
Amavas,2019,134 min,"Horror, Thriller",2.8,308,Bhushan Patel,Ali Asgar,Ali Asgar,Vivan Bhatena
An Ungodly Tie,2019,135 min,Horror,2.2,,Himanshu Binekar,Mohanti Kesarwani,Trisha Nandwani,Himansh Sajwan
Arjun Patiala,2019,107 min,"Action, Comedy",4.3,"1,204",Rohit Jugraj,Diljit Dosanjh,Kriti Sanon,Varun Sharma
Article 15,2019,130 min,"Crime, Drama, Mystery",8.2,"25,706",Anubhav Sinha,Ayushmann Khurrana,Nassar,Manoj Pahwa
Axone,2019,104 min,"Comedy, Drama",7,"1,979",Nicholas Kharkongor,Sayani Gupta,Lin Laishram,Jimpa Bhutia
Baal Ki Khaal,2019,65 min,Comedy,7,20,Paresh Vinodray Savani,Samiksha Bhatnagar,Rishi Bhutani,Nilofar Gesawat
Badla,2019,118 min,"Crime, Drama, Mystery",7.8,"23,890",Sujoy Ghosh,Amitabh Bachchan,Taapsee Pannu,Amrita Singh
Badmaash Bubbly,2019,67 min,Thriller,8.9,,Raj,Priya Tiwari,,
Badnaam Gali,2019,95 min,Comedy,7.1,805,Ashwin Shetty,Patralekhaa Paul,Divyendu Sharma,Dolly Ahluwalia
Bagpat Ka Dulha,2019,137 min,Drama,5.5,6,Karan Kashyap,Raza Murad,Puneet Vashisht,Lalit Parimoo
Bahattar Hoorain,2019,120 min,Comedy,8.8,23,Sanjay Puran Singh Chauhan,Narottam Bain,Aamir Bashir,Pawan Malhotra
Bala,2019,133 min,Comedy,7.3,"12,370",Amar Kaushik,Ayushmann Khurrana,Bhumi Pednekar,Yami Gautam
Barot House,2019,89 min,"Mystery, Thriller",7.3,"1,135",Bugs Bhargava Krishna,Amit Sadh,Manjari Fadnnis,Aaryan Menghji
Batla House,2019,146 min,"Action, Crime, Drama",7.2,"10,092",Nikkhil Advani,John Abraham,Nora Fatehi,Mrunal Thakur
Battalion 609,2019,131 min,War,2.8,101,Brijesh Batuknath Tripathi,Vicky Ahuja,Kumar Gautam,Karim Hajee
Beheaded,2019,46 min,"Action, Drama, Thriller",9.2,,Prashast Singh,Prashast Singh,,
Bharat,2019,150 min,"Action, Comedy, Drama",4.9,"22,598",Ali Abbas Zafar,Salman Khan,Katrina Kaif,Sunil Grover
Bitter Chestnut,2019,100 min,Drama,7.1,27,Gurvinder Singh,Bhankheri Devi,Rani Devi,Gopi Katwal
Black Yellow,2019,72 min,"Comedy, Crime, Drama",7.7,,Paresh Patel,Akshay Bhagat,Paresh Patel,Anagha Priolkar
Blackboard vs Whiteboard,2019,152 min,"Action, Family",5.4,43,Tarun s Bisht,Dharmendra,Alismita Goswami,Pankaj Jha
Blank,2019,107 min,"Action, Thriller",6.2,933,Behzad Khambata,Sunny Deol,Karan Kapadia,Karanvir Sharma
Bombairiya,2019,104 min,"Comedy, Crime, Drama",4.5,381,Pia Sukanya,Radhika Apte,Akshay Oberoi,Siddhant Kapoor
Bombay Rose,2019,97 min,"Animation, Drama, Romance",6,480,Gitanjali Rao,Cyli Khare,Amit Deondi,Gargi Shitole
Bypass Road,2019,137 min,"Drama, Mystery, Thriller",5.4,890,Naman Nitin Mukesh,Neil Nitin Mukesh,Adah Sharma,Gul Panag
Cabaret,2019,95 min,"Drama, Musical, Thriller",3.4,175,Kaustav Narayan Niyogi,Akshay Anand,Richa Chadha,Gulshan Devaiah
Cargo,2019,119 min,"Drama, Fantasy, Sci-Fi",5.7,"2,589",Arati Kadav,Vikrant Massey,Shweta Tripathi,Nandu Madhav
Chai Coffee,2019,49 min,"Drama, Romance",7.9,11,Ayush Upadhyay,Ayush Upadhyay,Mansi Singh,Megha Jha
Chanakya,2019,147 min,"Action, Adventure, Thriller",5.5,521,Thiru,Mehreen Pirzada,Nassar,Zareen Khan
Chandro ka Devar,2019,113 min,"Family, Drama, Comedy",6.2,,Uttar Kumar,Vikas Balian,Rajender Kashyap,Uttar Kumar
